everyDayHour,"avg(cpu)"
"05/13/19_11","15.532703703703703"
"05/13/19_12","17.218907407407407"
"05/13/19_13","12.858777777777778"
"05/13/19_14","14.504259259259259"
"05/13/19_15","19.306944444444444"
"05/13/19_16","10.92737037037037"
"05/13/19_17","8.512"
"05/13/19_18","6.644777777777778"
"05/13/19_19","4.5922777777777775"
"05/13/19_20","3.4934444444444446"
"05/13/19_21","4.690925925925926"
"05/13/19_22","3.511845574387947"
"05/13/19_23","3.6061481481481485"
"05/14/19_00","3.434351851851851"
"05/14/19_01","3.9058148148148155"
"05/14/19_02","3.1195370370370368"
"05/14/19_03","7.153592592592592"
"05/14/19_04","6.089666666666666"
"05/14/19_05","3.1870370370370376"
"05/14/19_06","3.8686111111111106"
"05/14/19_07","5.85712962962963"
"05/14/19_08","13.852092592592593"
"05/14/19_09","17.275425925925923"
"05/14/19_10","24.999666666666666"
"05/14/19_11","19.13612962962963"
"05/14/19_12","14.922796296296298"
"05/14/19_13","16.439444444444444"
"05/14/19_14","15.945722222222223"
"05/14/19_15","16.22801851851852"
"05/14/19_16","14.298055555555555"
"05/14/19_17","13.251944444444444"
"05/14/19_18","6.209370370370371"
"05/14/19_19","4.243333333333333"
"05/14/19_20","4.131314814814814"
"05/14/19_21","5.228185185185184"
"05/14/19_22","3.2906111111111107"
"05/14/19_23","4.515648148148148"
"05/15/19_00","6.421129943502825"
"05/15/19_01","4.127129629629629"
"05/15/19_02","5.412555555555555"
"05/15/19_03","6.810333333333334"
"05/15/19_04","9.040983606557377"
"05/15/19_05","13.092166666666667"
"05/15/19_06","11.950129629629629"
"05/15/19_07","11.060388888888887"
"05/15/19_08","15.884537037037036"
"05/15/19_09","19.83790740740741"
"05/15/19_10","22.067851851851856"
"05/15/19_11","26.385407407407406"
"05/15/19_12","18.136499999999998"
"05/15/19_13","22.61486338797814"
"05/15/19_14","23.020703703703703"
"05/15/19_15","22.168685185185183"
"05/15/19_16","25.404444444444444"
"05/15/19_17","18.78622222222222"
"05/15/19_18","12.050148148148148"
"05/15/19_19","6.841055555555556"
"05/15/19_20","5.041"
"05/15/19_21","3.9319629629629635"
"05/15/19_22","4.521518518518519"
"05/15/19_23","1.9828703703703703"
"05/16/19_00","6.281574074074074"
"05/16/19_01","5.826018518518518"
"05/16/19_02","6.47075925925926"
"05/16/19_03","7.178574074074074"
"05/16/19_04","8.860666666666665"
"05/16/19_05","3.7028148148148152"
"05/16/19_06","5.799592592592593"
"05/16/19_07","8.131407407407407"
"05/16/19_08","14.106444444444445"
"05/16/19_09","22.462018518518516"
"05/16/19_10","26.284962962962965"
"05/16/19_11","27.674870370370375"
"05/16/19_12","29.255333333333336"
"05/16/19_13","31.509185185185185"
"05/16/19_14","29.09890740740741"
"05/16/19_15","25.916574074074074"
"05/16/19_16","21.87344444444444"
"05/16/19_17","16.77636534839925"
"05/16/19_18","15.239314814814817"
"05/16/19_19","6.636518518518519"
"05/16/19_20","6.745240740740741"
"05/16/19_21","6.2233888888888895"
"05/16/19_22","4.6200740740740756"
"05/16/19_23","4.085592592592592"
"05/17/19_00","4.302333333333333"
"05/17/19_01","4.521147540983606"
"05/17/19_02","3.7864999999999998"
"05/17/19_03","4.488537037037036"
"05/17/19_04","4.829629629629629"
"05/17/19_05","2.8899629629629633"
"05/17/19_06","4.486351851851852"
"05/17/19_07","5.5651111111111105"
"05/17/19_08","8.661851851851853"
"05/17/19_09","15.535555555555558"
"05/17/19_10","20.329227871939736"
"05/17/19_11","15.11137037037037"
"05/17/19_12","22.273555555555557"
"05/17/19_13","24.607851851851855"
"05/17/19_14","26.96746812386156"
"05/17/19_15","26.41233333333333"
"05/17/19_16","20.985518518518518"
"05/17/19_17","19.39074074074074"
"05/17/19_18","18.028888888888886"
"05/17/19_19","8.89934086629002"
"05/17/19_20","3.714314814814815"
"05/17/19_21","4.586888888888889"
"05/17/19_22","5.034462962962962"
"05/17/19_23","1.5512037037037034"
"05/18/19_00","2.22412962962963"
"05/18/19_01","3.4355555555555553"
"05/18/19_02","3.047351851851852"
"05/18/19_03","2.5344629629629627"
"05/18/19_04","2.013"
"05/18/19_05","1.5981481481481479"
"05/18/19_06","2.134592592592593"
"05/18/19_07","2.3709074074074072"
"05/18/19_08","2.432833333333333"
"05/18/19_09","4.149666666666667"
"05/18/19_10","2.334740740740741"
"05/18/19_11","2.0637037037037045"
"05/18/19_12","2.765833333333333"
"05/18/19_13","3.475351851851852"
"05/18/19_14","1.9539629629629627"
"05/18/19_15","3.465518518518518"
"05/18/19_16","3.143462962962963"
"05/18/19_17","2.1582037037037036"
"05/18/19_18","1.7365000000000002"
"05/18/19_19","1.8671481481481482"
"05/18/19_20","1.1063888888888889"
"05/18/19_21","1.6829074074074073"
"05/18/19_22","2.0206967984934088"
"05/18/19_23","1.652462962962963"
"05/19/19_00","1.7557037037037035"
"05/19/19_01","2.0258148148148147"
"05/19/19_02","1.7147777777777777"
"05/19/19_03","1.7910185185185186"
"05/19/19_04","1.763537037037037"
"05/19/19_05","1.5682777777777779"
"05/19/19_06","1.951425925925926"
"05/19/19_07","1.8699444444444446"
"05/19/19_08","2.719388888888889"
"05/19/19_09","2.5622592592592595"
"05/19/19_10","1.8322037037037038"
"05/19/19_11","1.4955925925925928"
"05/19/19_12","2.463333333333333"
"05/19/19_13","2.595740740740741"
"05/19/19_14","2.482277777777778"
"05/19/19_15","2.594759259259259"
"05/19/19_16","3.251833333333333"
"05/19/19_17","1.6221296296296295"
"05/19/19_18","2.666"
"05/19/19_19","2.9851296296296295"
"05/19/19_20","1.730851851851852"
"05/19/19_21","2.675462962962963"
"05/19/19_22","3.0892222222222228"
"05/19/19_23","2.890277777777778"
"05/20/19_00","3.0749340866290016"
"05/20/19_01","4.559481481481481"
"05/20/19_02","9.084425925925926"
"05/20/19_03","15.271444444444445"
"05/20/19_04","17.602722222222223"
"05/20/19_05","15.988481481481479"
"05/20/19_06","10.45748148148148"
"05/20/19_07","9.96374074074074"
"05/20/19_08","13.933148148148149"
"05/20/19_09","24.49385185185185"
"05/20/19_10","24.153185185185187"
"05/20/19_11","28.389148148148145"
"05/20/19_12","26.430425925925928"
"05/20/19_13","24.03651851851852"
"05/20/19_14","27.88744444444445"
"05/20/19_15","24.80812962962963"
"05/20/19_16","22.78424074074074"
"05/20/19_17","21.22546296296296"
"05/20/19_18","17.469240740740744"
"05/20/19_19","17.870055555555556"
"05/20/19_20","7.763703703703703"
"05/20/19_21","4.0040555555555555"
"05/20/19_22","3.500074074074074"
"05/20/19_23","6.570222222222221"
"05/21/19_00","6.373500000000001"
"05/21/19_01","4.2309227871939745"
"05/21/19_02","5.686981481481481"
"05/21/19_03","5.138629629629629"
"05/21/19_04","7.176277777777778"
"05/21/19_05","6.875814814814815"
"05/21/19_06","12.154444444444445"
"05/21/19_07","15.110333333333333"
"05/21/19_08","13.085851851851853"
"05/21/19_09","25.762944444444447"
"05/21/19_10","25.39837037037037"
"05/21/19_11","23.791777777777778"
"05/21/19_12","26.86575925925926"
"05/21/19_13","28.25577777777778"
"05/21/19_14","28.437870370370373"
"05/21/19_15","25.301981481481484"
"05/21/19_16","25.948722222222223"
"05/21/19_17","20.44916666666667"
"05/21/19_18","18.26711111111111"
"05/21/19_19","17.03675925925926"
"05/21/19_20","17.146277777777776"
"05/21/19_21","16.997777777777777"
"05/21/19_22","4.838425925925926"
"05/21/19_23","3.7496666666666663"
"05/22/19_00","4.696148148148149"
"05/22/19_01","10.721462962962963"
"05/22/19_02","16.837796610169494"
"05/22/19_03","16.398407407407408"
"05/22/19_04","17.079"
"05/22/19_05","18.417351851851855"
"05/22/19_06","18.434925925925928"
"05/22/19_07","19.356388888888887"
"05/22/19_08","25.424888888888884"
"05/22/19_09","30.811481481481483"
"05/22/19_10","30.192111111111107"
"05/22/19_11","29.90124074074074"
"05/22/19_12","28.898407407407408"
"05/22/19_13","28.207537037037035"
"05/22/19_14","29.496611111111115"
"05/22/19_15","28.639518518518518"
"05/22/19_16","29.057222222222226"
"05/22/19_17","25.800666666666668"
"05/22/19_18","20.96451851851852"
"05/22/19_19","19.462222222222223"
"05/22/19_20","14.829481481481482"
"05/22/19_21","12.94798148148148"
"05/22/19_22","13.645722222222224"
"05/22/19_23","15.049333333333331"
"05/23/19_00","6.9232962962962965"
"05/23/19_01","16.74864814814815"
"05/23/19_02","13.921958568738228"
"05/23/19_03","9.804814814814813"
"05/23/19_04","15.169444444444446"
"05/23/19_05","17.81851851851852"
"05/23/19_06","18.260611111111114"
"05/23/19_07","18.735407407407408"
"05/23/19_08","24.43464814814815"
"05/23/19_09","27.339166666666667"
"05/23/19_10","29.41685185185185"
"05/23/19_11","31.097518518518523"
"05/23/19_12","29.250314814814814"
"05/23/19_13","34.050481481481484"
"05/23/19_14","30.450796296296296"
"05/23/19_15","30.210092592592595"
"05/23/19_16","29.046407407407408"
"05/23/19_17","19.099666666666668"
"05/23/19_18","22.369740740740745"
"05/23/19_19","19.25862962962963"
"05/23/19_20","17.07024074074074"
"05/23/19_21","16.914074074074072"
"05/23/19_22","16.44237037037037"
"05/23/19_23","7.968000000000001"
"05/24/19_00","11.798425925925926"
"05/24/19_01","17.313703703703705"
"05/24/19_02","18.46824858757062"
"05/24/19_03","17.487000000000002"
"05/24/19_04","16.048425925925926"
"05/24/19_05","18.097814814814814"
"05/24/19_06","17.23762962962963"
"05/24/19_07","18.676425925925926"
"05/24/19_08","22.908981481481483"
"05/24/19_09","24.29531481481481"
"05/24/19_10","26.583203703703703"
"05/24/19_11","26.180314814814814"
"05/24/19_12","24.39801851851852"
"05/24/19_13","25.491240740740743"
"05/24/19_14","22.429462962962962"
"05/24/19_15","25.009944444444443"
"05/24/19_16","20.922240740740737"
"05/24/19_17","18.161851851851853"
"05/24/19_18","15.666425925925928"
"05/24/19_19","16.772203703703703"
"05/24/19_20","15.844537037037036"
"05/24/19_21","13.485537037037037"
"05/24/19_22","4.939314814814814"
"05/24/19_23","4.422407407407407"
"05/25/19_00","5.978351851851852"
"05/25/19_01","5.745296296296296"
"05/25/19_02","2.1059444444444444"
"05/25/19_03","1.3406026365348402"
"05/25/19_04","1.593962962962963"
"05/25/19_05","1.5798518518518516"
"05/25/19_06","0.7614814814814814"
"05/25/19_07","1.5963333333333334"
"05/25/19_08","1.3823333333333334"
"05/25/19_09","1.6659074074074074"
"05/25/19_10","2.7163703703703708"
"05/25/19_11","2.900148148148148"
"05/25/19_12","3.097962962962963"
"05/25/19_13","1.945851851851852"
"05/25/19_14","1.748111111111111"
"05/25/19_15","1.5016111111111112"
"05/25/19_16","2.209962962962963"
"05/25/19_17","1.9928148148148146"
"05/25/19_18","1.6882407407407407"
"05/25/19_19","0.7565000000000001"
"05/25/19_20","1.4207407407407409"
"05/25/19_21","0.7380185185185185"
"05/25/19_22","0.6722777777777778"
"05/25/19_23","1.6746666666666665"
"05/26/19_00","2.4655740740740737"
"05/26/19_01","1.5063703703703704"
"05/26/19_02","0.3699074074074074"
"05/26/19_03","0.8433148148148147"
"05/26/19_04","0.675685185185185"
"05/26/19_05","1.0270925925925927"
"05/26/19_06","0.7756308851224104"
"05/26/19_07","1.8112777777777775"
"05/26/19_08","1.5908703703703704"
"05/26/19_09","1.555388888888889"
"05/26/19_10","1.386074074074074"
"05/26/19_11","1.9193333333333331"
"05/26/19_12","1.8702407407407406"
"05/26/19_13","1.3712407407407405"
"05/26/19_14","1.9017777777777778"
"05/26/19_15","1.9049074074074075"
"05/26/19_16","2.6419074074074076"
"05/26/19_17","1.9153888888888893"
"05/26/19_18","1.8772222222222221"
"05/26/19_19","2.1255925925925925"
"05/26/19_20","2.062129629629629"
"05/26/19_21","2.340240740740741"
"05/26/19_22","2.376425925925926"
"05/26/19_23","1.5829259259259258"
"05/27/19_00","3.4855370370370373"
"05/27/19_01","4.047796296296297"
"05/27/19_02","2.5495"
"05/27/19_03","5.346074074074075"
"05/27/19_04","4.460203703703703"
"05/27/19_05","5.910074074074073"
"05/27/19_06","3.5466481481481478"
"05/27/19_07","3.839888888888889"
"05/27/19_08","5.247683615819208"
"05/27/19_09","5.749314814814815"
"05/27/19_10","7.498277777777777"
"05/27/19_11","5.653925925925925"
"05/27/19_12","4.130833333333333"
"05/27/19_13","4.320351851851853"
"05/27/19_14","5.041388888888889"
"05/27/19_15","4.628481481481482"
"05/27/19_16","3.7956111111111115"
"05/27/19_17","3.9213703703703704"
"05/27/19_18","2.5742592592592595"
"05/27/19_19","3.548111111111111"
"05/27/19_20","3.8066111111111116"
"05/27/19_21","2.0001296296296296"
"05/27/19_22","4.201666666666667"
"05/27/19_23","2.2285"
"05/28/19_00","2.8690925925925925"
"05/28/19_01","2.4079814814814813"
"05/28/19_02","3.806740740740741"
"05/28/19_03","3.7537777777777777"
"05/28/19_04","3.719351851851852"
"05/28/19_05","5.5037407407407395"
"05/28/19_06","7.037444444444444"
"05/28/19_07","8.774185185185184"
"05/28/19_08","10.598814814814816"
"05/28/19_09","14.795222222222222"
"05/28/19_10","14.305166666666667"
"05/28/19_11","10.702768361581922"
"05/28/19_12","16.23574074074074"
"05/28/19_13","18.468092592592594"
"05/28/19_14","14.515351851851852"
"05/28/19_15","20.467055555555554"
"05/28/19_16","19.433388888888885"
"05/28/19_17","9.061074074074073"
"05/28/19_18","6.367277777777778"
"05/28/19_19","3.8525"
"05/28/19_20","3.736981481481481"
"05/28/19_21","4.69774074074074"
"05/28/19_22","3.355481481481481"
"05/28/19_23","2.5429814814814815"
"05/29/19_00","3.33762962962963"
"05/29/19_01","3.553851851851852"
"05/29/19_02","3.9240370370370363"
"05/29/19_03","3.4353888888888893"
"05/29/19_04","2.6095"
"05/29/19_05","2.537666666666667"
"05/29/19_06","4.978555555555556"
"05/29/19_07","6.001351851851853"
"05/29/19_08","10.27061111111111"
"05/29/19_09","12.826666666666666"
"05/29/19_10","21.692944444444446"
"05/29/19_11","20.662759259259257"
"05/29/19_12","19.5515065913371"
"05/29/19_13","16.306166666666666"
"05/29/19_14","18.992777777777775"
"05/29/19_15","15.843740740740742"
"05/29/19_16","9.914370370370369"
"05/29/19_17","8.219333333333335"
"05/29/19_18","7.473"
"05/29/19_19","7.058740740740741"
"05/29/19_20","7.5675"
"05/29/19_21","3.019222222222222"
"05/29/19_22","4.03512962962963"
"05/29/19_23","2.4817037037037033"
"05/30/19_00","4.3428148148148145"
"05/30/19_01","3.9906851851851854"
