n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0,1.9912286000000001,0.0067421171926926125,1.9929312000000003,0.005411940184444084
1,1.834847,0.006012993264589586,1.8382809999999998,0.0059145189491623075
2,1.7145062,0.005813961485940563,1.7194356,0.006885655425593102
3,1.6110906,0.005221219076039674,1.616921,0.007368616830857783
4,1.5240818,0.005623572722033521,1.5310754,0.007176058461300359
5,1.4476772,0.0026246931553993175,1.4554236,0.004905559279022131
6,1.3822588,0.0020697757752955004,1.3908429999999998,0.005224238317688047
7,1.3209203999999999,0.001163718625785453,1.3306554,0.004164911408421491
8,1.2666802,0.0024204499912206124,1.2773278000000001,0.005867753075922643
9,1.2177748,0.0031899891786650383,1.2290656,0.0059957889088925855
10,1.1734334,0.003283213706111738,1.1854724,0.0067465673523652
11,1.1335468,0.004065428262803347,1.1465947999999997,0.00805410040662519
12,1.096081,0.0033661650583416618,1.1099536,0.00738029564719461
13,1.063348,0.0030753127320648312,1.0780254,0.007863895589337382
14,1.0325853999999999,0.0025876933048566597,1.0480602,0.007693061169651528
15,1.0046064,0.002284006970216998,1.0206864000000002,0.007345455400450064
16,0.9789465999999999,0.001794047223458753,0.9956318,0.006669109127912088
17,0.95457,0.0013806788185526803,0.9720141999999999,0.00631733359575066
18,0.9321728,0.002056050135575512,0.9502072,0.006569742320669814
19,0.9124360000000001,0.0021746120573564167,0.9312502000000003,0.006372291688239023
20,0.8929988,0.0018710062960877758,0.9123751999999999,0.006370305782299601
21,0.8747507999999999,0.0021178089998864507,0.8949018000000001,0.006745005719790002
22,0.858119,0.002620747298004906,0.8788895999999999,0.0073027873473078585
23,0.8420348000000001,0.0020473545271886846,0.8636010000000001,0.007089106149579113
24,0.8270906,0.0012536561889130255,0.8492418,0.006954543360997937
25,0.8130588,0.0013324804538903997,0.8356939999999999,0.0065462732909648755
26,0.7996103999999999,0.0015203664821351304,0.8228781999999999,0.00652842312966923
27,0.7869804,0.001483479774044798,0.8109694000000001,0.006210650484450073
28,0.7752442,0.0019769258357358777,0.799925,0.00578136132757674
29,0.7640161999999999,0.0019665370985567526,0.7891938,0.00580190470104429
30,0.7537536,0.00231692775890833,0.7793844,0.0055555692633608945
31,0.7439414,0.002389901470772389,0.7702214000000001,0.0053848764739778355
32,0.7347011999999999,0.0022117112288904256,0.7615689999999999,0.005438546570546205
33,0.7258167999999999,0.0021588039651622027,0.753111,0.00578507946358562
34,0.7175002,0.0020906500807165176,0.7453202,0.005675073652385497
35,0.7092052000000001,0.002009693150707327,0.7375536,0.005723961935582749
36,0.701549,0.0018333423030083588,0.7305218,0.005962638255000878
37,0.6943866,0.001845270993648346,0.723864,0.006043645985661308
38,0.6875268,0.0016250530329807538,0.7175818,0.006189133425609737
39,0.6812108,0.00178875257092759,0.711801,0.005994370792668728
40,0.6748511999999999,0.0015860590657349506,0.7059338000000001,0.006342852147102263
41,0.6689332,0.0015392020530131953,0.7005480000000001,0.006440591743000046
42,0.6630404000000001,0.0013642115085279161,0.6951434000000001,0.006389353225483785
43,0.657383,0.0013281114411072532,0.6901122,0.006433343404482612
44,0.6518494,0.0015158487523496322,0.6851666,0.006280655016795627
45,0.646787,0.0016201450552342383,0.6807124,0.006193248084809778
46,0.6418558,0.001677163844113041,0.676262,0.006134107367824593
47,0.6371184000000001,0.0016481210635144474,0.6718816,0.006084106593412044
48,0.6325376,0.0015844941905857376,0.6677413999999999,0.006095973707292397
49,0.6281323999999999,0.0012387796575662655,0.6638258,0.006364329796608592
50,0.6236954,0.0011958847101623074,0.6598995999999999,0.006326822728668771
51,0.6195552,0.0012921899860314505,0.6563352,0.006292442718054745
52,0.6155382,0.0014772143243280678,0.6528374,0.006105116431322144
53,0.6117885999999999,0.0016002842997417895,0.6495322,0.006125113105894445
54,0.608187,0.001502901194357085,0.6463593999999999,0.006162262785698121
55,0.604504,0.0015190811696548802,0.6431378,0.006193488593676442
56,0.6008804,0.0015221296396825006,0.6400270000000001,0.006245204912570931
57,0.5975754,0.0015654876045501024,0.6371216000000001,0.006127880762547544
58,0.5942635999999999,0.0014951454243651368,0.6342634,0.006172453081231158
59,0.5911500000000001,0.0014135457544770106,0.6316200000000001,0.006327454243216615
60,0.5879442,0.001477868519185658,0.628908,0.00625822652194694
61,0.5848302000000001,0.001253289016946989,0.6262186,0.006344961925811682
62,0.582003,0.0013810071686997146,0.623869,0.0061489392581159765
63,0.579105,0.001346072806351877,0.6214064,0.006224660941770248
64,0.57628,0.0014485612172082868,0.6190941999999999,0.006102214988018674
65,0.573597,0.0015623141809508073,0.6168858,0.005954361205032828
66,0.5708616,0.001596758792053454,0.6146174,0.006062807389320587
67,0.5681762,0.001592529861572474,0.6123884,0.006071986185755031
68,0.565642,0.0016163804007720444,0.6102380000000001,0.006054928471914415
69,0.5630488,0.0016315834517425017,0.608099,0.0060166863970128924
70,0.5606498,0.0017023239879646775,0.6062032,0.006042773647920296
71,0.5581495999999999,0.0016073341407436092,0.6042348,0.006123171282921974
72,0.5558272,0.0016240988147277278,0.6024174,0.006111499868281114
73,0.5535102000000001,0.0015304473071621957,0.6006016,0.006158252628790076
74,0.5512976,0.0015956385054265794,0.5987861999999999,0.0060944619253876986
75,0.5491878,0.0015543121179479881,0.597106,0.006153590951631426
76,0.5469642,0.001546756658301482,0.5953556,0.006217388795949638
77,0.5448608,0.001663052061722652,0.5936768,0.006149052525389582
78,0.5428234,0.0016488190440433316,0.5920884,0.00621682879288148
79,0.5407778000000001,0.0016400562673274384,0.5905798000000001,0.006184782207968204
80,0.5388588000000001,0.001592381285999062,0.5890734,0.0061632467287948195
81,0.5368943999999999,0.0016015688058900258,0.5875676,0.006122618577046909
82,0.534944,0.0015510516432408015,0.5860436,0.006076319497853907
83,0.5331928,0.001605534353416312,0.5846624,0.00597425910385549
84,0.5314730000000001,0.0015861385815873804,0.5833518,0.00599064678978823
85,0.5296566,0.0015505548168316973,0.5818282,0.006045645222802961
86,0.5278852,0.0016294869622062128,0.580527,0.00602654066608695
87,0.5261384,0.0015950953074973073,0.5792324000000001,0.006102367986282062
88,0.5246116,0.0016431933057312735,0.5781274,0.006049176162090169
89,0.5229906,0.0015290992904321197,0.5769895999999999,0.0061640655934212885
90,0.5213866,0.0015483021152216977,0.5757692000000001,0.006154087792678937
91,0.5197681999999999,0.0015835561751955348,0.5745229999999999,0.006028520183262229
92,0.5182040000000001,0.0015653039321486485,0.5733468,0.006005419332569536
93,0.5166742,0.0015570638265658837,0.5721606,0.005971127685789364
94,0.5150946000000001,0.0016133631457300613,0.5709868,0.00600488332609387
95,0.5135422000000001,0.001592188104465017,0.5699422000000001,0.0060105825141994525
96,0.5119968,0.0014629453031470548,0.5688186,0.00611429046087932
97,0.5104302000000001,0.0014524563194808747,0.5676844,0.006100304307163699
98,0.5091232,0.0014024537639437324,0.5666472,0.006178347785613867
99,0.5076812,0.0013887494230421756,0.5657054,0.006146171315542704
100,0.5063062,0.0013654261459339376,0.5646876000000001,0.00623006172040054
101,0.5048768000000001,0.0013335497591016332,0.5636256000000001,0.00633190027085079
102,0.5035736,0.0014129465099571008,0.5626494,0.006318207043141291
103,0.502299,0.0013797702707334793,0.5617752000000001,0.006328013982285428
104,0.5009426,0.0013945909220986566,0.560931,0.006461786347442925
105,0.499694,0.0013591342832847812,0.5600748,0.006540834118061688
106,0.49838760000000004,0.0013361002357607627,0.5591962,0.006610414159491089
107,0.4970998,0.0013491964126842266,0.5584545999999999,0.006731842202547538
108,0.4957662,0.0013836955445472874,0.5575863999999999,0.006682550189860128
109,0.49454840000000005,0.001348287892106137,0.5568052,0.006684377140766365
110,0.49327180000000004,0.0013459021361153956,0.5559132,0.0066959626462518695
111,0.49193220000000004,0.0013504930062758532,0.5550434,0.006609773085363845
112,0.49063460000000003,0.0012885456297702423,0.5542222000000001,0.006571241569140485
113,0.4893936,0.0013485963962579805,0.5534290000000001,0.006516884685185076
114,0.48816800000000005,0.0014409389994028314,0.5526864,0.006606008828331966
115,0.48700580000000004,0.001521780194377623,0.5519062,0.006534814868073934
116,0.4858708,0.001587984811010491,0.551167,0.006457474212104921
117,0.48472679999999996,0.0016230425009838756,0.5504314,0.006465455609622587
118,0.48364,0.0015745485702257666,0.5498004,0.006542564836514827
119,0.48250000000000004,0.0015823007299499048,0.5490046000000001,0.006459290320151279
120,0.481309,0.0015779187558299817,0.5482758,0.00645184343889402
121,0.480216,0.0016637889289209768,0.5475676,0.006359463581152096
122,0.47910759999999997,0.00165379425564366,0.546816,0.006407752211189185
123,0.47810040000000004,0.0017157026082628645,0.5462765999999999,0.006436934071434956
124,0.4770066,0.0017033034491833814,0.5456486,0.006424548065039264
125,0.47587999999999997,0.0016753504707970777,0.5449648,0.006363064651565331
126,0.4748278,0.0017212928164609276,0.5443486,0.006324443773170882
127,0.47383099999999995,0.0016478132175704778,0.5437087999999999,0.006314055476474692
128,0.4727474,0.0015893920347101278,0.5430428,0.006356228926022118
129,0.471725,0.001582653720811984,0.5425017999999999,0.006357238029207314
130,0.4707734,0.0016091644539946697,0.5418709999999999,0.006315937238446863
131,0.46977119999999994,0.0016089487748216157,0.5412584,0.0062730517804335155
132,0.46874839999999995,0.0016249003169425587,0.5405452000000001,0.006328957114722794
133,0.4677676,0.0016707598989681232,0.539944,0.006293170933639076
134,0.4667534,0.0016750384592599625,0.5393435999999999,0.0062904709394448356
135,0.465768,0.0016667123327077107,0.5387878,0.0063067165910638545
136,0.4647546,0.0016246245843271015,0.5381662,0.006240870593114383
137,0.463763,0.0016905254804350097,0.5375295999999999,0.006187345686156578
138,0.46278800000000003,0.0017116382795439007,0.5370214000000001,0.006225190265365389
139,0.46189359999999996,0.0017164522247939205,0.5365662,0.006181010545210247
140,0.46096060000000005,0.0017413921557191,0.5360364000000001,0.006179605022976789
141,0.4600672,0.0016908054175451394,0.5355524,0.0062309083960526875
142,0.4591698,0.0016651482096197929,0.5350767999999999,0.0062981610458926855
143,0.45826980000000006,0.0015737140019711285,0.5346112,0.0063730293707153045
144,0.45729879999999995,0.001597653829839245,0.5340393999999999,0.006418113573317324
145,0.4563464,0.0016137942371938331,0.5334635999999999,0.006409755989115376
146,0.4554766,0.0016314686144697956,0.5329376,0.006349195967994667
147,0.454598,0.001675019164069486,0.5324347999999999,0.0063359100814326455
148,0.45372500000000004,0.0016913600444612594,0.532,0.006350630803313986
149,0.4528322,0.0016771923443660275,0.5316012000000001,0.006330386004028479
150,0.4520028,0.0016115384450890325,0.5311718,0.00636615869736217
151,0.4511234,0.0015839249477169058,0.5307734,0.006434139557081433
